Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Time,Location,Instructor,
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","34755","Architecture (ARCH)"," 412","003","Arch Design I","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29109","Architecture (ARCH)"," 413","001","History","LEC","P   ","","T","","TH","","","","10-1130AM","2108 A&AB","Herscher, McCulloch",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10067","Architecture (ARCH)"," 423","001","Int U P&Env","LEC","A   ","","T","","TH","","","","10-11AM","1040 DANA","D'Anieri",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10069","Architecture (ARCH)"," 423","002","Int U P&Env","DIS","P  W","","","","TH","","","","12-1PM","3038 DANA","D'Anieri, Druta",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10071","Architecture (ARCH)"," 423","003","Int U P&Env","DIS","P  W","","","","","F","","","11-12PM","3038 DANA","D'Anieri, Druta",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10073","Architecture (ARCH)"," 423","004","Int U P&Env","DIS","P  W","","","","TH","","","","12-1PM","3556 DANA","D'Anieri, Tarr",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10075","Architecture (ARCH)"," 425","001","Sustainable Sys II","LEC","P R ","M","","W","","F","","","830-930AM","2104 A&AB","Kim, Junghans, Bae, Lee",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10077","Architecture (ARCH)"," 432","001","Arch Des III","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","Mitnick, Kiely",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44531","Architecture (ARCH)"," 432","009","Arch Des III","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Lecavalier, Kiely",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42531","Architecture (ARCH)"," 443","001","Hist Urb Form","LEC","P  W","","T","","TH","","","","10-1130AM","2213 A&AB","Fishman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43529","Architecture (ARCH)"," 466","001","Dimensions","LEC","PI  ","M","","","","","","","5-6PM","ARR","Unverzagt",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44009","Architecture (ARCH)"," 503","001","Spec Topc Arch Hist","SEM","P  W","","","","TH","","","","1130-230PM","2210 A&AB","Constant",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48008","Architecture (ARCH)"," 503","002","Spec Topc Arch Hist","SEM","P   ","M","","","","","","","630-8PM","2108 A&AB","Kelbaugh",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH)"," 503","","Spec Topc Arch Hist","SEM","P   ","","","","TH","","","","630-8PM","2108 A&AB","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48821","Architecture (ARCH)"," 503","003","Spec Topc Arch Hist","SEM","P   ","","","W","","","","","1-4PM","270 TAP","Zimmerman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","37001","Architecture (ARCH)"," 506","001","Spec Topics Des Fund","SEM","P  W","","","W","","","","","830-1130AM","2204 A&AB","Hill",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43995","Architecture (ARCH)"," 506","002","Spec Topics Des Fund","SEM","P   ","","","W","","","","","7-10PM","2222 A&AB","Ray",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43999","Architecture (ARCH)"," 506","003","Spec Topics Des Fund","SEM","P  W","M","","","","","","","7-10PM","2222 A&AB","Psarra",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44089","Architecture (ARCH)"," 506","005","Spec Topics Des Fund","SEM","P   ","","","W","","","","","7-10PM","2213 A&AB","Wilkins",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44091","Architecture (ARCH)"," 506","006","Spec Topics Des Fund","SEM","P   ","","","W","","","","","7-10PM","2227 A&AB","Groat",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","33983","Architecture (ARCH)"," 509","002","Experimental Course","SEM","PI W","M","","W","","","","","7-10PM","2114 A&AB","Pachikara",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH)"," 509","","Experimental Course","SEM","P  W","M","","W","","","","","7-10PM","2006 A&AB","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49461","Architecture (ARCH)"," 509","003","Experimental Course","SEM","P   ","","","W","","","","","7-10PM","2108 A&AB","Pigram",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49462","Architecture (ARCH)"," 509","004","Experimental Course","SEM","P   ","M","","","","","","","7-10PM","1227 A&AB","Abrons, Fure",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49464","Architecture (ARCH)"," 509","005","Experimental Course","SEM","P   ","M","","","","","","","7-10PM","2210 A&AB","Curry",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49465","Architecture (ARCH)"," 509","006","Experimental Course","SEM","P   ","M","","","","","","","7-10PM","2213 A&AB","Saldana",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49466","Architecture (ARCH)"," 509","007","Experimental Course","SEM","P   ","","","W","","","","","7-10PM","1227 A&AB","Maigret",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49468","Architecture (ARCH)"," 509","009","Experimental Course","SEM","P   ","","","W","","","","","7-10PM","2210 A&AB","Hwang",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","47327","Architecture (ARCH)"," 514","001","Frame Structures","LEC","P  W","M","","W","","F","","","1030-1130AM","1227 A&AB","von Buelow",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29027","Architecture (ARCH)"," 516","001","Arch Representation","LEC","A   ","M","","","","","","","2-3PM","2104 A&AB","McCullough",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29029","Architecture (ARCH)"," 516","002","Arch Representation","LAB","P R ","M","","","","","","","3-5PM","2104 A&AB","McCullough",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44651","Architecture (ARCH)"," 516","007","Arch Representation","LAB","P   ","M","","","","","","","3-5PM","1227 A&AB","Ng",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","46007","Architecture (ARCH)"," 518","001","Renaissance Arch","LEC","P   ","","","","TH","","","","1-4PM","130 TAP","Soo",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36583","Architecture (ARCH)"," 519","001","Theories Urban Des","LEC","P   ","M","","W","","","","","830-10AM","1227 A&AB","Larsen, Broderick",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10087","Architecture (ARCH)"," 534","001","Reinfor Concr Struc","LEC","P  W","M","","W","","","","","930-11AM","2213 A&AB","Giles",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43943","Architecture (ARCH)"," 543","001","20th Century Arch","LEC","P  W","M","","W","","","","","530-7PM","2210 A&AB","Herscher, Taylor",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10089","Architecture (ARCH)"," 552","001","Arch Design V","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","Adams, Smith",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44613","Architecture (ARCH)"," 552","008","Arch Design V","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Velikov",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49456","Architecture (ARCH)"," 552","009","Arch Design V","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Young",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42495","Architecture (ARCH)"," 555","001","Bld Sy&Ener Consvtn","LEC","P  W","","","","TH","","","","830-1130AM","2210 A&AB","Navvab",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","27633","Architecture (ARCH)"," 564","001","Adv Material Struct","LEC","P  W","","T","","TH","","","","10-1130AM","2222 A&AB","Giles",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29297","Architecture (ARCH)"," 571","001","Digital Fabrication","LAB","P  W","M","","W","","","","","11-1230PM","2108 A&AB","Mcgee",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44125","Architecture (ARCH)"," 571","002","Digital Fabrication","LAB","P  W","M","","","","","","","5-630PM","2108 A&AB","Kaczynski",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH)"," 571","","Digital Fabrication","LAB","P  W","","","","TH","","","","5-630PM","2108 A&AB","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10101","Architecture (ARCH)"," 575","001","Building Ecology","LEC","P  W","","","","TH","","","","830-1130AM","1221 A&AB","Kim",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42403","Architecture (ARCH)"," 589","001","Site Planning","LEC","P   ","","","","TH","","","","230-430PM","2104 A&AB","Thun",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42405","Architecture (ARCH)"," 589","002","Site Planning","LAB","A   ","","","","TH","","","","430-630PM","3100 A&AB","Thun, Bennett, Holzwart, Shirley, Smith",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44007","Architecture (ARCH)"," 591","001","Design Computing","SEM","P  W","M","","","","","","","930-1230PM","ARR","Wilcox",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10103","Architecture (ARCH)"," 593","001","Tutrl Std Arch Hist","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44013","Architecture (ARCH)"," 597","001","Detailing","LEC","P  W","M","","","","","","","7-10PM","ARR","Kennedy",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10105","Architecture (ARCH)"," 600","001","Tutor Studies Arch","IND"," IR ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49007","Architecture (ARCH)"," 600","021","Tutor Studies Arch","IND"," I  ","","","","","","","","ARR","ARR","Velikov",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51056","Architecture (ARCH)"," 600","027","Tutor Studies Arch","IND"," I  ","","","","","","","","ARR","ARR","Thun",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","46947","Architecture (ARCH)"," 605","001","Env Des Simulation","LEC","P  W","M","","","","","","","830-1130AM","2210 A&AB","Navvab",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10107","Architecture (ARCH)"," 660","001","Thesis Res&Dev Sem","SEM","P R ","","","W","","","","","230-530PM","1221 A&AB","Clutter, Mitnick",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH)"," 660","","Thesis Res&Dev Sem","SEM","P R ","","","W","","","","","230-530PM","2213 A&AB","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10109","Architecture (ARCH)"," 672","001","Arch Design VII","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","Daubmann, Simbuerger",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44615","Architecture (ARCH)"," 672","006","Arch Design VII","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Maigret, Simbuerger",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44617","Architecture (ARCH)"," 672","007","Arch Design VII","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Thun, Simbuerger",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49458","Architecture (ARCH)"," 672","008","Arch Design VII","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Wilcox, Simbuerger",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","31363","Architecture (ARCH)"," 690","001","Arc Curr Pract Exper","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48926","Architecture (ARCH)"," 693","001","Col Arch-Urbanism","SEM","P  W","","","","TH","","","","6-9PM","2227 A&AB","Glover",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10119","Architecture (ARCH)"," 710","001","Tutorial Studies","IND"," IR ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48938","Architecture (ARCH)"," 711","001","MS Topic Seminar","SEM","P   ","","","W","","","","","130-430PM","2227 A&AB","Colas",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44385","Architecture (ARCH)"," 712","001","MS Topic Workshop","SEM","P   ","","","","","","","","ARR","ARR","Young",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48585","Architecture (ARCH)"," 716","001","Adv Top in Des Stds","SEM","P   ","","","W","","","","","7-10PM","ARR","Groat",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10121","Architecture (ARCH)"," 719","001","Supervised Research","IND"," IR ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","39833","Architecture (ARCH)"," 720","001","MS_DR Seminar","SEM","P R ","M","","","","","","","10-1PM","2227 A&AB","Glover",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10123","Architecture (ARCH)"," 739","001","Masters Thesis","IND"," IR ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51307","Architecture (ARCH)"," 739","005","Masters Thesis","IND"," I  ","","","","","","","","ARR","ARR","Wineman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49088","Architecture (ARCH)"," 741","001","MS_DR Thesis Studio","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49416","Architecture (ARCH)"," 741","058","MS_DR Thesis Studio","IND","    ","M","","","","","","","2-6PM","ARR","Young",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10125","Architecture (ARCH)"," 810","001","Tutorial Studies","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51312","Architecture (ARCH)"," 810","008","Tutorial Studies","IND"," I  ","","","","","","","","ARR","ARR","Glover",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48820","Architecture (ARCH)"," 813","001","Res&Meth Arch","SEM","P   ","","","","TH","","","","130-430PM","2213 A&AB","Zimmerman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","39995","Architecture (ARCH)"," 813","002","Res&Meth Arch","SEM","P   ","","","","TH","","","","130-430PM","2227 A&AB","Groat",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10127","Architecture (ARCH)"," 819","001","Supervised Research","IND"," IR ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10129","Architecture (ARCH)"," 839","001","Research Practicum","IND"," I  ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50403","Architecture (ARCH)"," 839","024","Research Practicum","IND"," I  ","","","","","","","","ARR","ARR","Groat",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","37717","Architecture (ARCH)"," 880","001","Res Colloquium BT","SEM","P   ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","37715","Architecture (ARCH)"," 890","001","Res Colloquium DS","SEM","P   ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","28235","Architecture (ARCH)"," 990","001","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50155","Architecture (ARCH)"," 990","005","Diss-Precand","IND","    ","","","","","","","","ARR","ARR","Wineman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10131","Architecture (ARCH)"," 993","001","Teach Meth Gsi","SEM","P   ","","","","","","","","ARR","ARR","Norton",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10133","Architecture (ARCH)"," 995","001","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50651","Architecture (ARCH)"," 995","005","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Wineman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48001","Architecture (ARCH)"," 995","007","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Fishman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51689","Architecture (ARCH)"," 995","008","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Glover",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50154","Architecture (ARCH)"," 995","023","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Navvab",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50152","Architecture (ARCH)"," 995","024","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Groat",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49882","Architecture (ARCH)"," 995","029","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Giles",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50153","Architecture (ARCH)"," 995","030","Diss-Cand","IND","  R ","","","","","","","","ARR","ARR","Kim",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42533","Urban Design (UD)"," 713","001","Hist of Urban Form","LEC","P   ","","T","","TH","","","","10-1130AM","ARR","Fishman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36585","Urban Design (UD)"," 719","001","Princ&Prac Urb Des I","LEC","P R ","M","","W","","","","","830-10AM","1227 A&AB","Larsen, Broderick",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","34883","Urban Design (UD)"," 722","001","Urban Des Studio II","LAB","P R ","","T","","","F","","","1230-630PM","2222 A&AB","Strickland",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10135","Urban Planning (UP)"," 406","001","Intro Geo Info Sys","LEC","A   ","M","","W","","","","","10-11AM","2108 A&AB","Deng",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10137","Urban Planning (UP)"," 406","002","Intro Geo Info Sys","LAB","P R ","M","","","","","","","12-230PM","ARR","Deng, Skuzinski",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10139","Urban Planning (UP)"," 406","003","Intro Geo Info Sys","LAB","P R ","","","","TH","","","","1-330PM","ARR","Deng, Skuzinski",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10141","Urban Planning (UP)"," 406","004","Intro Geo Info Sys","LAB","P R ","","","","","F","","","830-11AM","ARR","Deng, Skuzinski",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10143","Urban Planning (UP)"," 423","001","Int U P&Env","LEC","A   ","","T","","TH","","","","10-11AM","1040 DANA","D'Anieri",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10145","Urban Planning (UP)"," 423","002","Int U P&Env","DIS","P  W","","","","TH","","","","12-1PM","3038 DANA","D'Anieri, Druta",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10147","Urban Planning (UP)"," 423","003","Int U P&Env","DIS","P  W","","","","","F","","","11-12PM","3038 DANA","D'Anieri, Druta",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10149","Urban Planning (UP)"," 423","004","Int U P&Env","DIS","P  W","","","","TH","","","","12-1PM","3556 DANA","D'Anieri, Tarr",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42553","Urban Planning (UP)"," 443","001","Hist Urb Form","LEC","P  W","","T","","TH","","","","10-1130AM","2213 A&AB","Fishman",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","25181","Urban Planning (UP)"," 502","001","Env Pln:Iss&Concept","LEC","P  W","","","","TH","","","","6-9PM","2213 A&AB","Larsen",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10151","Urban Planning (UP)"," 503","001","Intro to Statistics","LEC","P RW","M","","W","","","","","1230-2PM","2108 A&AB","Epstein, Larkin",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10153","Urban Planning (UP)"," 510","001","Public Economics","LEC","P   ","","T","","TH","","","","830-10AM","1227 A&AB","Owens, Lee",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10155","Urban Planning (UP)"," 513","001","Legl Aspec Pln Proc","LEC","P RW","","T","","TH","","","","10-1130AM","1227 A&AB","Norton, Steiff, Weber",
